Unnamed: 0,tconst,ordering,nconst,category,job,characters
846547,tt0098936,9,nm0000145,actress,\N,"[""Audrey Horne""]"
846649,tt0098948,10,nm0002006,actor,\N,"[""Lowell Mather""]"
846650,tt0098948,1,nm0004857,actor,\N,"[""Joe Montgomery Hackett""]"
846651,tt0098948,2,nm0001836,actor,\N,"[""Brian Michael Hackett""]"
846652,tt0098948,3,nm0004751,actress,\N,"[""Helen Chapel"",""Helen Chapel Hackett""]"
846653,tt0098948,4,nm0775116,actor,\N,"[""Roy Biggins""]"
846654,tt0098948,5,nm0029628,writer,created by,\N
846655,tt0098948,6,nm0143517,writer,created by,\N
846656,tt0098948,7,nm0497115,writer,created by,\N
846657,tt0098948,8,nm0776042,actress,\N,"[""Fay Evelyn Schlob Dumbly DeVay Cochran""]"
846658,tt0098948,9,nm0001724,actor,\N,"[""Antonio Scarpacci"",""Antonio""]"
886084,tt0103491,10,nm0500359,actress,\N,"[""Sydney Andrews""]"
886085,tt0103491,1,nm0000181,actress,\N,"[""Amanda Woodward""]"
886086,tt0103491,2,nm0795576,actor,\N,"[""Billy Campbell""]"
886087,tt0103491,3,nm0005489,actress,\N,"[""Allison Parker"",""Alison Parker""]"
886088,tt0103491,4,nm0129248,actor,\N,"[""Dr. Michael Mancini""]"
886089,tt0103491,5,nm0823015,writer,created by,\N
886090,tt0103491,6,nm0084327,actress,\N,"[""Jane Andrews Mancini""]"
886091,tt0103491,7,nm0767443,actor,\N,"[""Matt Fielding""]"
886092,tt0103491,8,nm0005424,actor,\N,"[""Jake Hanson""]"
886093,tt0103491,9,nm0905935,actor,\N,"[""Dr. Peter Burns""]"
931851,tt0108872,10,nm0410464,actor,\N,"[""Graham Chase""]"
931852,tt0108872,1,nm0000787,actress,\N,"[""Patty Chase""]"
931853,tt0108872,2,nm0190497,actor,\N,"[""Rickie Vasquez""]"
931854,tt0108872,3,nm0000132,actress,\N,"[""Angela Chase""]"
931855,tt0108872,4,nm0347957,actor,\N,"[""Brian Krakow""]"
931856,tt0108872,5,nm0392848,writer,created by,\N
931857,tt0108872,6,nm0486277,actress,\N,"[""Rayanne Graff""]"
931858,tt0108872,7,nm0001467,actor,\N,"[""Jordan Catalano""]"
931859,tt0108872,8,nm0644043,actress,\N,"[""Sharon Cherski""]"
931860,tt0108872,9,nm0928991,actress,\N,"[""Danielle Chase""]"
943273,tt0110216,10,nm0108629,editor,\N,\N
943274,tt0110216,1,nm0000216,actor,\N,"[""Dr. Alex Hesse""]"
943275,tt0110216,2,nm0000362,actor,\N,"[""Dr. Larry Arbogast""]"
943276,tt0110216,3,nm0000668,actress,\N,"[""Dr. Diana Reddin""]"
943277,tt0110216,4,nm0001449,actor,\N,"[""Noah Banes""]"
943278,tt0110216,5,nm0718645,director,\N,\N
943279,tt0110216,6,nm0905458,writer,written by,\N
943280,tt0110216,7,nm0175620,writer,written by,\N
943281,tt0110216,8,nm0006133,composer,\N,\N
943282,tt0110216,9,nm0004229,cinematographer,director of photography,\N
1016968,tt0119008,10,nm0425741,producer,producer,\N
1016969,tt0119008,1,nm0000199,actor,\N,"[""Lefty""]"
1016970,tt0119008,2,nm0000136,actor,\N,"[""Donnie""]"
1016971,tt0119008,3,nm0000514,actor,\N,"[""Sonny""]"
1016972,tt0119008,4,nm0456124,actor,\N,"[""Nicky""]"
1016973,tt0119008,5,nm0001565,director,\N,\N
1016974,tt0119008,6,nm0685587,writer,"book ""Donnie Brasco: My Undercover Life in the Mafia""",\N
1016975,tt0119008,7,nm0940361,writer,"book ""Donnie Brasco: My Undercover Life in the Mafia""",\N
1016976,tt0119008,8,nm0001921,writer,screenplay,\N
1016977,tt0119008,9,nm0226544,producer,producer,\N
1072121,tt0126158,1,nm0260008,actor,\N,"[""He-Man"",""Prince Adam"",""Beast Man""]"
1072122,tt0126158,2,nm0649178,actor,\N,"[""Man-At-Arms"",""Cringer"",""Skeletor""]"
1072123,tt0126158,3,nm0308881,actress,\N,"[""Teela"",""The Sorceress"",""Evil-Lyn""]"
1072124,tt0126158,4,nm0770617,actor,\N,"[""Orko"",""King Randor"",""Trap Jaw""]"
1072125,tt0126158,5,nm0485333,actress,\N,"[""Arcadian women"",""Background villagers"",""Celice's singing voice""]"
1072126,tt0126158,6,nm2071331,actress,\N,"[""Queen Marlena"",""Bran"",""Young lady""]"
1072127,tt0126158,7,nm0225191,actor,\N,"[""Garth"",""Lord Tyrin""]"
1087590,tt0128445,10,nm0005934,cinematographer,\N,\N
1087591,tt0128445,1,nm0005403,actor,\N,"[""Max Fischer""]"
1087592,tt0128445,2,nm0000195,actor,\N,"[""Herman Blume""]"
1087593,tt0128445,3,nm0931404,actress,\N,"[""Rosemary Cross""]"
1087594,tt0128445,4,nm0001025,actor,\N,"[""Bert Fischer""]"
1087595,tt0128445,5,nm0027572,director,\N,\N
1087596,tt0128445,6,nm0005562,writer,written by,\N
1087597,tt0128445,7,nm0578814,producer,producer,\N
1087598,tt0128445,8,nm0771490,producer,producer,\N
1087599,tt0128445,9,nm0006205,composer,\N,\N
1198243,tt0145487,10,nm0957205,producer,producer,\N
1198244,tt0145487,1,nm0001497,actor,\N,"[""Spider-Man"",""Peter Parker""]"
1198245,tt0145487,2,nm0000379,actress,\N,"[""Mary Jane Watson""]"
1198246,tt0145487,3,nm0000353,actor,\N,"[""Green Goblin"",""Norman Osborn""]"
1198247,tt0145487,4,nm0290556,actor,\N,"[""Harry Osborn""]"
1198248,tt0145487,5,nm0000600,director,\N,\N
1198249,tt0145487,6,nm0498278,writer,Marvel comic book,\N
1198250,tt0145487,7,nm0228492,writer,Marvel comic book,\N
1198251,tt0145487,8,nm0462895,writer,screenplay,\N
1198252,tt0145487,9,nm0117290,producer,producer,\N
1808521,tt0239195,10,nm3279915,self,\N,"[""Self - Timbira Tribe"",""Self - Kasama Tribe"",""Self - Villains Tribe""]"
1808522,tt0239195,1,nm0698251,self,\N,"[""Self - Host""]"
1808523,tt0239195,2,nm1442184,self,\N,"[""Self - Balboa Tribe"",""Self - Morgan Tribe"",""Self - Outcasts""]"
1808524,tt0239195,3,nm1441171,self,\N,"[""Self - Drake Tribe"",""Self - Balboa Tribe"",""Self""]"
1808525,tt0239195,4,nm1152785,self,\N,"[""Self - Mentor"",""Self - Chapera Tribe"",""Self - Maraamu Tribe""]"
1808526,tt0239195,5,nm0663789,writer,creator,\N
1808527,tt0239195,6,nm2368180,self,\N,"[""Self - Rarotonga Tribe"",""Self - Villains Tribe"",""Self - Edge of Extinction & The Jury""]"
1808528,tt0239195,7,nm1441225,self,\N,"[""Self - Mentor"",""Self - Villains Tribe"",""Self - Drake Tribe""]"
1808529,tt0239195,8,nm2366679,self,\N,"[""Self"",""Self - Aitutaki Tribe"",""Self - Savaii Tribe""]"
1808530,tt0239195,9,nm1440912,self,\N,"[""Self - Heroes Tribe"",""Self - Drake Tribe"",""Self""]"
2114716,tt0286486,10,nm0811027,actor,\N,"[""Ronnie Gardocki""]"
2114717,tt0286486,1,nm0004821,actor,\N,"[""Vic Mackey""]"
2114718,tt0286486,2,nm0413052,actor,\N,"[""Julien Lowe""]"
2114719,tt0286486,3,nm0439813,actor,\N,"[""Holland Wagenbach""]"
2114720,tt0286486,4,nm0001634,actress,\N,"[""Claudette Wyms""]"
2114721,tt0286486,5,nm0752841,writer,created by,\N
2114722,tt0286486,6,nm0324658,actor,\N,"[""Shane Vendrell""]"
2114723,tt0286486,7,nm0553468,actor,\N,"[""David Aceveda""]"
2114724,tt0286486,8,nm0219748,actress,\N,"[""Danni Sofer""]"
2114725,tt0286486,9,nm1108664,actress,\N,"[""Corrine Mackey""]"
2458604,tt0338096,10,nm0004744,producer,producer,\N
2458605,tt0338096,1,nm0526019,actor,\N,"[""Javier Suarez""]"
2458606,tt0338096,2,nm0304801,actress,\N,"[""Katey Miller""]"
2458607,tt0338096,3,nm0000688,actress,\N,"[""Jeannie Miller""]"
2458608,tt0338096,4,nm0805476,actor,\N,"[""Bert Miller""]"
2458609,tt0338096,5,nm0272704,director,\N,\N
2458610,tt0338096,6,nm1568308,writer,story,\N
2458611,tt0338096,7,nm0755969,writer,story,\N
2458612,tt0338096,8,nm0945026,writer,screenplay,\N
2458613,tt0338096,9,nm0002982,writer,screenplay,\N
2500437,tt0345061,10,nm0473696,cinematographer,director of photography,\N
2500438,tt0345061,1,nm0000209,actor,\N,"[""William Geld""]"
2500439,tt0345061,2,nm0608090,actress,\N,"[""Maria Gonzales""]"
2500440,tt0345061,3,nm0700875,actor,\N,"[""Bahkland""]"
2500441,tt0345061,4,nm0407033,actor,\N,"[""Driver""]"
2500442,tt0345061,5,nm0935863,director,\N,\N
2500443,tt0345061,6,nm0101639,writer,writer,\N
2500444,tt0345061,7,nm0247787,producer,producer,\N
2500445,tt0345061,8,nm0385311,composer,\N,\N
2500446,tt0345061,9,nm0391794,composer,\N,\N
2646569,tt0368530,10,nm0940504,actress,\N,"[""Deb Scott"",""Deb Lee""]"
2646570,tt0368530,1,nm0614877,actor,\N,"[""Lucas Scott""]"
2646571,tt0368530,2,nm0480798,actor,\N,"[""Nathan Scott"",""Nathan Lee""]"
2646572,tt0368530,3,nm1122026,actress,\N,"[""Peyton Sawyer"",""Peyton Scott""]"
2646573,tt0368530,4,nm0502342,actress,\N,"[""Haley James Scott"",""Haley James""]"
2646574,tt0368530,5,nm0777043,writer,created by,\N
2646575,tt0368530,6,nm0124208,actress,\N,"[""Brooke Davis"",""Brooke Davis Baker""]"
2646576,tt0368530,7,nm0635851,actor,\N,"[""Marvin 'Mouth' McFadden"",""Mouth""]"
2646577,tt0368530,8,nm0424035,actor,\N,"[""Dan Scott""]"
2646578,tt0368530,9,nm0849612,actor,\N,"[""Antwon 'Skills' Taylor""]"
2924415,tt0410975,10,nm0701457,actor,\N,"[""Andrew Van De Kamp""]"
2924416,tt0410975,1,nm0000159,actress,\N,"[""Susan Mayer"",""Susan Delfino""]"
2924417,tt0410975,2,nm0005031,actress,\N,"[""Lynette Scavo""]"
2924418,tt0410975,3,nm0189220,actress,\N,"[""Bree Van De Kamp"",""Bree Hodge""]"
2924419,tt0410975,4,nm0519456,actress,\N,"[""Gabrielle Solis"",""Gabrielle Lang""]"
2924420,tt0410975,5,nm0156100,writer,created by,\N
2924421,tt0410975,6,nm0154632,actor,\N,"[""Carlos Solis""]"
2924422,tt0410975,7,nm0834947,actress,\N,"[""Mary Alice Young""]"
2924423,tt0410975,8,nm0219835,actor,\N,"[""Mike Delfino""]"
2924424,tt0410975,9,nm0767443,actor,\N,"[""Tom Scavo""]"
3099875,tt0435961,10,nm0566332,actor,\N,"[""Big Daddy"",""Deed"",""Scott""]"
3099876,tt0435961,1,nm0861558,actor,\N,"[""Brandon Heat"",""Beyond The Grave"",""Deed's Henchman #2""]"
3099877,tt0435961,2,nm0485670,actor,\N,"[""Nathan"",""Bunji Kugashira"",""\""Mad Dog\"" Ladd Carabel""]"
3099878,tt0435961,3,nm0089707,actor,\N,"[""Ballardbird Lee"",""Escort"",""Lightning Thug #3""]"
3099879,tt0435961,4,nm0741398,actress,\N,"[""Maria Asagi"",""Young Harry""]"
3099880,tt0435961,5,nm0631488,writer,creator,\N
3099881,tt0435961,6,nm0082507,actor,\N,"[""Bear Walken""]"
3099882,tt0435961,7,nm0292823,actor,\N,"[""'Dr. T' Doctor Tokioka, Butler Tokioka"",""'Dr. T' Doctor Tokioka"",""Butler Tokioka""]"
3099883,tt0435961,8,nm0031407,actor,\N,"[""Harry MacDowel - 20's""]"
3099884,tt0435961,9,nm0422849,actor,\N,"[""Alzac Tino"",""Bob Poundmax #2"",""Descartes Henchman #1""]"
3268815,tt0460627,10,nm0006970,actress,\N,"[""Caroline Julian""]"
3268816,tt0460627,1,nm0221043,actress,\N,"[""Temperance Brennan""]"
3268817,tt0460627,2,nm0004770,actor,\N,"[""Seeley Booth""]"
3268818,tt0460627,3,nm0174819,actress,\N,"[""Angela Montenegro""]"
3268819,tt0460627,4,nm0862328,actor,\N,"[""Jack Hodgins""]"
3268820,tt0460627,5,nm0361274,writer,created by,\N
3268821,tt0460627,6,nm0853231,actress,\N,"[""Camille Saroyan""]"
3268822,tt0460627,7,nm0197855,actor,\N,"[""Lance Sweets""]"
3268823,tt0460627,8,nm1090644,actor,\N,"[""Zack Addy""]"
3268824,tt0460627,9,nm1668372,actor,\N,"[""James Aubrey""]"
3281468,tt0462499,10,nm0003911,composer,\N,\N
3281469,tt0462499,1,nm0000230,actor,\N,"[""John Rambo""]"
3281470,tt0462499,2,nm0004748,actress,\N,"[""Sarah""]"
3281471,tt0462499,3,nm0550452,actor,\N,"[""School Boy""]"
3281472,tt0462499,4,nm0574615,actor,\N,"[""Lewis""]"
3281473,tt0462499,5,nm0599393,writer,written by,\N
3281474,tt0462499,6,nm0606251,writer,character,\N
3281475,tt0462499,7,nm0503592,producer,producer,\N
3281476,tt0462499,8,nm0854772,producer,producer,\N
3281477,tt0462499,9,nm0860315,producer,producer,\N
3463682,tt0490668,10,nm0936061,producer,producer,\N
3463683,tt0490668,1,nm0319308,actress,\N,"[""Wysteria"",""Minty""]"
3463684,tt0490668,2,nm0419403,actress,\N,"[""Pinky Pie"",""Ladybug"",""Breezie #3""]"
3463685,tt0490668,3,nm0571741,actress,\N,"[""Tra La La""]"
3463686,tt0490668,4,nm0141446,actress,\N,"[""Sunny Daze""]"
3463687,tt0490668,5,nm0155037,director,\N,\N
3463688,tt0490668,6,nm0738899,writer,\N,\N
3463689,tt0490668,7,nm9261564,writer,creator,\N
3463690,tt0490668,8,nm1896625,producer,producer,\N
3463691,tt0490668,9,nm1416404,producer,producer,\N
5651584,tt0758745,10,nm0213897,actor,\N,"[""Mac McGill"",""Coach Mac McGill""]"
5651585,tt0758745,1,nm0151419,actor,\N,"[""Eric Taylor""]"
5651586,tt0758745,2,nm0110168,actress,\N,"[""Tami Taylor""]"
5651587,tt0758745,3,nm1472917,actor,\N,"[""Matt Saracen""]"
5651588,tt0758745,4,nm1631435,actress,\N,"[""Julie Taylor""]"
5651589,tt0758745,5,nm0000916,writer,developed for television by,\N
5651590,tt0758745,6,nm0500894,actor,\N,"[""Buddy Garrity""]"
5651591,tt0758745,7,nm2018237,actor,\N,"[""Tim Riggins""]"
5651592,tt0758745,8,nm0687146,actor,\N,"[""Landry Clarke""]"
5651593,tt0758745,9,nm2208749,actor,\N,"[""Billy Riggins""]"
5878905,tt0791205,10,nm1365137,actor,\N,"[""Raul Creed"",""Guest 2"",""Rioter""]"
5878906,tt0791205,1,nm1289399,actor,\N,"[""Vincent Law""]"
5878907,tt0791205,2,nm0944985,actress,\N,"[""Pino""]"
5878908,tt0791205,3,nm1240448,actor,\N,"[""Vincent Law""]"
5878909,tt0791205,4,nm1454681,actress,\N,"[""Pino""]"
5878910,tt0791205,5,nm2226321,actress,\N,"[""Re-l Mayer""]"
5878911,tt0791205,6,nm0391125,actress,\N,"[""Re-l Mayer""]"
5878912,tt0791205,7,nm0043552,actor,\N,"[""Additional Voices"",""Outsider D"",""Soldier A""]"
5878913,tt0791205,8,nm1058720,actress,\N,"[""Daedalus Yumeno"",""Dorothy""]"
5878914,tt0791205,9,nm0523180,actor,\N,"[""Daedelus Yumeno"",""Daedalus Yumeno"",""AR Disposal Unit Employee C""]"
6002298,tt0808151,10,nm0004976,producer,producer,\N
6002299,tt0808151,1,nm0000158,actor,\N,"[""Robert Langdon""]"
6002300,tt0808151,2,nm0000191,actor,\N,"[""Camerlengo Patrick McKenna""]"
6002301,tt0808151,3,nm0957909,actress,\N,"[""Vittoria Vetra""]"
6002302,tt0808151,4,nm0001745,actor,\N,"[""Commander Richter""]"
6002303,tt0808151,5,nm0000165,director,\N,\N
6002304,tt0808151,6,nm0462895,writer,screenplay,\N
6002305,tt0808151,7,nm0326040,writer,screenplay,\N
6002306,tt0808151,8,nm1467010,writer,novel,\N
6002307,tt0808151,9,nm0130492,producer,producer,\N
7206513,tt0974613,10,nm0778597,producer,producer,\N
7206514,tt0974613,1,nm0000553,actor,\N,"[""Peter""]"
7206515,tt0974613,2,nm0000104,actor,\N,"[""Rafe""]"
7206516,tt0974613,3,nm0001473,actress,\N,"[""Lisa""]"
7206517,tt0974613,4,nm0304801,actress,\N,"[""Abigail""]"
7206518,tt0974613,5,nm0264236,director,\N,\N
7206519,tt0974613,6,nm0939606,writer,screenplay,\N
7206520,tt0974613,7,nm0772384,writer,short story,\N
7206521,tt0974613,8,nm0230361,producer,producer,\N
7206522,tt0974613,9,nm0237819,producer,producer,\N
13438457,tt11794642,10,nm0302466,actor,\N,"[""Sheriff Walter Tubb""]"
13438458,tt11794642,1,nm0935395,actress,\N,"[""Jenny Hoyt""]"
13438459,tt11794642,2,nm3954896,actress,\N,"[""Cassie Dewell""]"
13438460,tt11794642,3,nm0679410,actress,\N,"[""Denise Brisbane""]"
13438461,tt11794642,4,nm1310016,actor,\N,"[""Ronald Pergman""]"
13438462,tt11794642,5,nm0005082,writer,created by,\N
13438463,tt11794642,6,nm2837093,actress,\N,"[""Scarlet Leyendecker""]"
13438464,tt11794642,7,nm5740850,actress,\N,"[""Jerrie Kennedy""]"
13438465,tt11794642,8,nm1272540,actor,\N,"[""Mark Lindor""]"
13438466,tt11794642,9,nm0002253,actor,\N,"[""Wolfgang Legarski"",""Rick Legarski""]"
13808170,tt1191056,10,nm2942806,self,\N,"[""Self""]"
13808171,tt1191056,1,nm2942070,self,\N,"[""Self""]"
13808182,tt1191056,2,nm2942487,self,\N,"[""Self""]"
13808183,tt1191056,3,nm2114006,self,\N,"[""Self"",""Self - Narrator""]"
13808184,tt1191056,4,nm1132273,self,\N,"[""Self""]"
13808185,tt1191056,5,nm0242472,writer,conceived by,\N
13808186,tt1191056,6,nm7381064,self,\N,"[""Self""]"
13808187,tt1191056,7,nm5070645,self,\N,"[""Self""]"
13808188,tt1191056,8,nm5070315,self,\N,"[""Self""]"
13808189,tt1191056,9,nm3148203,self,\N,"[""Self""]"
14455744,tt1213012,10,nm0723704,producer,producer,\N
14455745,tt1213012,1,nm0659363,actress,\N,"[""Kate""]"
14455756,tt1213012,2,nm0000207,actress,\N,"[""Lilly""]"
14455757,tt1213012,3,nm0519043,actor,\N,"[""Humphrey""]"
14455768,tt1213012,4,nm0000454,actor,\N,"[""Tony""]"
14455769,tt1213012,5,nm0068034,director,\N,\N
14455780,tt1213012,6,nm0994310,director,\N,\N
14455781,tt1213012,7,nm1558946,writer,based on a story by,\N
14455792,tt1213012,8,nm0219270,writer,screenplay by,\N
14455793,tt1213012,9,nm0441546,producer,producer,\N
14988774,tt12306692,10,nm8610597,actor,\N,"[""Rubberman"",""Dangling Feral""]"
14988775,tt12306692,1,nm2811823,actress,\N,"[""Scarlett""]"
14988776,tt12306692,2,nm1336920,actress,\N,"[""Maya""]"
14988777,tt12306692,3,nm0242257,actress,\N,"[""Dr. Andi Grant""]"
14988778,tt12306692,4,nm7942783,actress,\N,"[""Erin""]"
14988779,tt12306692,5,nm1004299,writer,created by,\N
14988780,tt12306692,6,nm0614682,writer,created by,\N
14988781,tt12306692,7,nm12645792,actress,\N,"[""Rowena""]"
14988782,tt12306692,8,nm9155774,actress,\N,"[""Nicole""]"
14988783,tt12306692,9,nm0478378,actress,\N,"[""Rubberwoman Dbl"",""Crawling Feral"",""Performer""]"
18016714,tt1341188,10,nm0001405,cinematographer,director of photography,\N
18016715,tt1341188,1,nm0000702,actress,\N,"[""Lisa""]"
18016726,tt1341188,2,nm0748620,actor,\N,"[""George""]"
18016727,tt1341188,3,nm0005562,actor,\N,"[""Matty""]"
18016728,tt1341188,4,nm0000197,actor,\N,"[""Charles""]"
18016729,tt1341188,5,nm0000985,director,\N,\N
18016740,tt1341188,6,nm0030572,producer,producer,\N
18016741,tt1341188,7,nm0548257,producer,producer,\N
18016743,tt1341188,8,nm0918463,producer,producer,\N
18016744,tt1341188,9,nm0001877,composer,\N,\N
19719312,tt1411598,10,nm1798613,self,\N,"[""Self""]"
19719313,tt1411598,1,nm3404373,self,\N,"[""Self""]"
19719316,tt1411598,2,nm4590920,self,\N,"[""Self""]"
19719317,tt1411598,3,nm4700832,self,\N,"[""Self""]"
19719318,tt1411598,4,nm3403497,self,\N,"[""Self""]"
19719319,tt1411598,5,nm0242472,writer,conceived by,\N
19719325,tt1411598,6,nm8172012,self,\N,"[""Self""]"
19719326,tt1411598,7,nm3459419,self,\N,"[""Self""]"
19719327,tt1411598,8,nm3398555,self,\N,"[""Self""]"
19719328,tt1411598,9,nm3494539,self,\N,"[""Self""]"
20615873,tt1441109,10,nm0003928,actor,\N,"[""Tom"",""Dr. Tom Gazelian"",""Tom Gazelian""]"
20615874,tt1441109,1,nm0001073,actress,\N,"[""Jules Cobb""]"
20615877,tt1441109,2,nm0588096,actress,\N,"[""Ellie Torres""]"
20615878,tt1441109,3,nm0005311,actress,\N,"[""Laurie Keller""]"
20615881,tt1441109,4,nm0126004,actor,\N,"[""Travis Cobb""]"
20615882,tt1441109,5,nm0081334,writer,created by,\N
20615885,tt1441109,6,nm0492639,writer,created by,\N
20615886,tt1441109,7,nm0005020,actor,\N,"[""Grayson Ellis""]"
20615889,tt1441109,8,nm0327020,actor,\N,"[""Andy Torres""]"
20615890,tt1441109,9,nm0887144,actor,\N,"[""Bobby Cobb""]"
22127693,tt1489887,10,nm2273482,producer,producer,\N
22127694,tt1489887,1,nm3239803,actress,\N,"[""Amy""]"
22127703,tt1489887,2,nm2788156,actress,\N,"[""Molly""]"
22127704,tt1489887,3,nm1790970,actress,\N,"[""Miss Fine""]"
22127708,tt1489887,4,nm0837177,actor,\N,"[""Principal Brown""]"
22127709,tt1489887,5,nm1312575,director,\N,\N
22127715,tt1489887,6,nm1054604,writer,written by,\N
22127716,tt1489887,7,nm2873539,writer,written by,\N
22127718,tt1489887,8,nm2573005,writer,written by,\N
22127719,tt1489887,9,nm4199289,writer,written by,\N
23921875,tt1552112,10,nm3206915,actress,\N,"[""Clerk"",""Clerk-Police Headquarters"",""Clerk-recurring""]"
23921876,tt1552112,1,nm1432956,actor,\N,"[""Jim Longworth""]"
23921877,tt1552112,2,nm0760989,actress,\N,"[""Callie Cargill"",""Callie""]"
23921878,tt1552112,3,nm0326988,actor,\N,"[""Carlos Sanchez""]"
23921879,tt1552112,4,nm0908436,actor,\N,"[""Daniel Green""]"
23921880,tt1552112,5,nm0132319,writer,creator,\N
23921888,tt1552112,6,nm0403335,actress,\N,"[""Colleen Manus""]"
23921889,tt1552112,7,nm2722682,actor,\N,"[""Jeff Cargill""]"
23921897,tt1552112,8,nm3566298,actor,\N,"[""F.H.P."",""F.H.P. #1"",""FHP""]"
23921898,tt1552112,9,nm4097744,actor,\N,"[""Detective""]"
24445503,tt1575539,10,nm3357555,editor,\N,\N
24445504,tt1575539,1,nm2464261,actress,\N,"[""Elena""]"
24445515,tt1575539,2,nm0227867,actress,\N,"[""Peyton""]"
24445516,tt1575539,3,nm0917314,actor,\N,"[""Barry""]"
24445527,tt1575539,4,nm0365293,actor,\N,"[""Tyler""]"
24445528,tt1575539,5,nm0174903,director,\N,\N
24445539,tt1575539,6,nm0164053,producer,producer,\N
24445540,tt1575539,7,nm0228264,producer,producer,\N
24445541,tt1575539,8,nm0149750,composer,\N,\N
24445542,tt1575539,9,nm1823574,cinematographer,\N,\N
24633735,tt1582457,10,nm0229943,actor,\N,"[""Cardinal Versucci""]"
24633736,tt1582457,1,nm0000460,actor,\N,"[""Rodrigo Borgia""]"
24633744,tt1582457,2,nm2957696,actor,\N,"[""Cesare Borgia""]"
24633745,tt1582457,3,nm0334441,actress,\N,"[""Lucrezia Borgia""]"
24633753,tt1582457,4,nm0838287,actor,\N,"[""Cardinal Ascanio Sforza""]"
24633754,tt1582457,5,nm0001403,writer,creator,\N
24633762,tt1582457,6,nm0365317,actor,\N,"[""Micheletto""]"
24633763,tt1582457,7,nm0000695,actress,\N,"[""Vanozza Cattaneo""]"
24633771,tt1582457,8,nm2551311,actress,\N,"[""Giulia Farnese""]"
24633772,tt1582457,9,nm0272173,actor,\N,"[""Giuliano Della Rovere""]"
24657819,tt1583421,10,nm2273444,composer,\N,\N
24657820,tt1583421,1,nm0425005,actor,\N,"[""Roadblock""]"
24657821,tt1583421,2,nm1475594,actor,\N,"[""Duke""]"
24657822,tt1583421,3,nm1597316,actress,\N,"[""Jaye""]"
24657825,tt1583421,4,nm0496932,actor,\N,"[""Storm Shadow""]"
24657826,tt1583421,5,nm0160840,director,\N,\N
24657829,tt1583421,6,nm1014201,writer,written by,\N
24657830,tt1583421,7,nm1116660,writer,written by,\N
24657835,tt1583421,8,nm0225146,producer,producer,\N
24657836,tt1583421,9,nm2131060,producer,producer,\N
26373493,tt1694020,10,nm9846718,producer,producer,\N
26373494,tt1694020,1,nm0000659,actress,\N,"[""Joyce Brewster""]"
26373495,tt1694020,2,nm0736622,actor,\N,"[""Andrew Brewster""]"
26373496,tt1694020,3,nm0719444,actress,\N,"[""K-Mart Receptionist""]"
26373497,tt1694020,4,nm1478285,actress,\N,"[""K-Mart Executive""]"
26373498,tt1694020,5,nm0281945,director,\N,\N
26373499,tt1694020,6,nm1557594,writer,written by,\N
26373500,tt1694020,7,nm9209737,writer,collaborating writer,\N
26373501,tt1694020,8,nm1698571,producer,producer,\N
26373502,tt1694020,9,nm0326415,producer,producer,\N
27178796,tt1772379,10,nm0311563,actor,\N,"[""DCI Armstrong""]"
27178797,tt1772379,1,nm3299423,actress,\N,"[""Anna""]"
27178798,tt1772379,2,nm0255124,actor,\N,"[""Mark""]"
27178799,tt1772379,3,nm2257207,actor,\N,"[""Mac""]"
27178800,tt1772379,4,nm0207691,actor,\N,"[""Paul""]"
27178801,tt1772379,5,nm2113666,writer,creator,\N
27178802,tt1772379,6,nm2348343,actress,\N,"[""Jay""]"
27178803,tt1772379,7,nm0364890,actor,\N,"[""Neil Valentine""]"
27178804,tt1772379,8,nm0750718,actress,\N,"[""Meg""]"
27178805,tt1772379,9,nm1754059,actress,\N,"[""Sarah""]"
27220828,tt1778304,10,nm2124081,producer,producer,\N
27220829,tt1778304,1,nm3785503,actress,\N,"[""Katie""]"
27220830,tt1778304,2,nm1053580,actress,\N,"[""Kristi""]"
27220831,tt1778304,3,nm2166469,actor,\N,"[""Dennis""]"
27220832,tt1778304,4,nm1584283,actress,\N,"[""Julie""]"
27220833,tt1778304,5,nm1160962,director,\N,\N
27220834,tt1778304,6,nm1413364,director,\N,\N
27220835,tt1778304,7,nm0484907,writer,written by,\N
27220836,tt1778304,8,nm2305431,writer,"film ""Paranormal Activity""",\N
27220837,tt1778304,9,nm0089658,producer,producer,\N
27272798,tt1785123,10,nm4201367,self,\N,"[""Self""]"
27272799,tt1785123,1,nm4219100,self,\N,"[""Self""]"
27272800,tt1785123,2,nm4207159,self,\N,"[""Self""]"
27272801,tt1785123,3,nm4201632,self,\N,"[""Self"",""Self - Auctioneer""]"
27272802,tt1785123,4,nm2563350,self,\N,"[""Self"",""Self - Auctioneer""]"
27272803,tt1785123,5,nm0995452,actor,\N,"[""Narrator"",""Self - Host""]"
27272804,tt1785123,6,nm4207078,self,\N,"[""Self""]"
27272805,tt1785123,7,nm4205594,self,\N,"[""Self""]"
27272806,tt1785123,8,nm4206073,self,\N,"[""Self""]"
27272807,tt1785123,9,nm5680362,self,\N,"[""Self""]"
27583090,tt1821681,10,nm0001183,actor,\N,"[""Avram Hadar""]"
27583091,tt1821681,1,nm0000662,actor,\N,"[""Martin Bohm""]"
27583092,tt1821681,2,nm3458761,actor,\N,"[""Jake Bohm""]"
27583093,tt1821681,3,nm1813221,actress,\N,"[""Clea Hopkins""]"
27583094,tt1821681,4,nm0001305,actor,\N,"[""Calvin Norburg""]"
27583095,tt1821681,5,nm0471352,writer,created by,\N
